producer_id,name,category,destination,country_code,region,village,current_lat,current_lng,road_access,website,google_maps_url,coordinate_valid,destination_bounds_ok,google_maps_coordinate_lat,google_maps_coordinate_lng,google_maps_distance_m,google_maps_status,nearest_other_producer_id,nearest_other_producer_distance_m,near_duplicate_ids,issue_codes,automated_status,manual_verification_status,suggested_arrival_lat,suggested_arrival_lng,suggested_move_distance_m,evidence_url_1,evidence_url_2,arrival_point_notes,road_access_review,reviewer_notes
aerakis-dairy-anogeia,Aerakis Traditional Mountain Dairy,cheese_dairy,crete,GR,Rethymno,Anogeia (Mount Psiloritis),35.291,24.882,paved,https://aerakis-dairy.gr,"https://maps.google.com/?q=35.2910,24.8820",true,true,35.291000,24.882000,0.0,MAP_LINK_MATCH,mitato-halepa,3319.6,,,PASS_INTERNAL_CHECKS,,,,,,,,,
monumental-olive-tree-vouves,Ancient Olive Tree of Vouves & Heritage Mill,olive_mill,crete,GR,Chania,Ano Vouves,35.4868,23.7865,paved,,"https://maps.google.com/?q=35.4868,23.7865",true,true,35.486800,23.786500,0.0,MAP_LINK_MATCH,karavitakis-winery,1096.1,,,PASS_INTERNAL_CHECKS,,,,,,,,,
anoskeli-estate,Anoskeli Winery & Olive Mill,winery,crete,GR,Chania,Anoskeli (Platanias),35.432,23.774,paved,https://anoskeli.gr,"https://maps.google.com/?q=35.4320,23.7740",true,true,35.432000,23.774000,0.0,MAP_LINK_MATCH,biolea-estate,1909.5,,,PASS_INTERNAL_CHECKS,,,,,,,,,
biolea-estate,Biolea Organic Artisanal Olive Mill,olive_mill,crete,GR,Chania,Astrikas (Kolymbari),35.4389,23.7547,paved,https://biolea.gr,"https://maps.google.com/?q=35.4389,23.7547",true,true,35.438900,23.754700,0.0,MAP_LINK_MATCH,anoskeli-estate,1909.5,,,PASS_INTERNAL_CHECKS,,,,,,,,,
cretan-brewery-charma,Cretan Brewery (Charma Beer),brewery,crete,GR,Chania,Zounaki (Platanias),35.4785,23.832,paved,https://cretanbeer.gr,"https://maps.google.com/?q=35.4785,23.8320",true,true,35.478500,23.832000,0.0,MAP_LINK_MATCH,monumental-olive-tree-vouves,4221.9,,,PASS_INTERNAL_CHECKS,,,,,,,,,
cretan-olive-oil-farm,Cretan Olive Oil Farm,olive_mill,crete,GR,Lasithi,Agios Nikolaos (Mirabello),35.212,25.718,paved,https://cretanoliveoilfarm.com,"https://maps.google.com/?q=35.2120,25.7180",true,true,35.212000,25.718000,0.0,MAP_LINK_MATCH,peskesi-farm-kazani,37720.9,,,PASS_INTERNAL_CHECKS,,,,,,,,,
domaine-paterianakis,Domaine Paterianakis,winery,crete,GR,Heraklion,Melesses (Peza),35.189,25.205,paved,https://paterianakis.gr,"https://maps.google.com/?q=35.1890,25.2050",true,true,35.189000,25.205000,0.0,MAP_LINK_MATCH,lyrarakis-winery,2777.0,,,PASS_INTERNAL_CHECKS,,,,,,,,,
douloufakis-winery,Douloufakis Winery,winery,crete,GR,Heraklion,Dafnes,35.2155,25.0742,paved,https://douloufakis.wine,"https://maps.google.com/?q=35.2155,25.0742",true,true,35.215500,25.074200,0.0,MAP_LINK_MATCH,silva-daskalaki-winery,6981.0,,,PASS_INTERNAL_CHECKS,,,,,,,,,
tyrokomio-gasparis,Gasparis Traditional Mountain Dairy,cheese_dairy,crete,GR,Chania,Gavalochori (Apokoronas),35.426,24.212,paved,,"https://maps.google.com/?q=35.4260,24.2120",true,true,35.426000,24.212000,0.0,MAP_LINK_MATCH,lafkas-brewery,20978.8,,,PASS_INTERNAL_CHECKS,,,,,,,,,
gavalas-crete-winery,Gavalas Crete Winery,winery,crete,GR,Heraklion,Vorias (Monofatsi),35.088,25.132,paved,https://gavalaswines.gr,"https://maps.google.com/?q=35.0880,25.1320",true,true,35.088000,25.132000,0.0,MAP_LINK_MATCH,silva-daskalaki-winery,11333.7,,,PASS_INTERNAL_CHECKS,,,,,,,,,
karavitakis-winery,Karavitakis Winery,winery,crete,GR,Chania,Pontikiana (Kolymbari),35.4855,23.7745,paved,https://karavitakiswines.com,"https://maps.google.com/?q=35.4855,23.7745",true,true,35.485500,23.774500,0.0,MAP_LINK_MATCH,monumental-olive-tree-vouves,1096.1,,,PASS_INTERNAL_CHECKS,,,,,,,,,
kasta-brewery,Kasta Microbrewery,brewery,crete,GR,Heraklion,Heraklion Urban Port,35.319,25.124,paved,https://kastabrewery.com,"https://maps.google.com/?q=35.3190,25.1240",true,true,35.319000,25.124000,0.0,MAP_LINK_MATCH,notos-brewery,1617.0,,,PASS_INTERNAL_CHECKS,,,,,,,,,
kazani-kokolakis,Kazani Kokolakis,kazani,crete,GR,Heraklion,Archanes Village,35.238,25.165,paved,https://archanes-kazani.gr,"https://maps.google.com/?q=35.2380,25.1650",true,true,35.238000,25.165000,0.0,MAP_LINK_MATCH,kazani-stilianou,1729.2,,,PASS_INTERNAL_CHECKS,,,,,,,,,
kazani-stilianou,Kazani Stilianou & Organic Estate,kazani,crete,GR,Heraklion,Kounavoi,35.237,25.184,paved,https://stilianouestate.gr,"https://maps.google.com/?q=35.2370,25.1840",true,true,35.237000,25.184000,0.0,MAP_LINK_MATCH,titakis-winery,430.7,,,PASS_INTERNAL_CHECKS,,,,,,,,,
lafkas-brewery,Lafkas Microbrewery,brewery,crete,GR,Chania,Vamvakopoulo,35.485,23.992,paved,https://lafkasbrewery.com,"https://maps.google.com/?q=35.4850,23.9920",true,true,35.485000,23.992000,0.0,MAP_LINK_MATCH,manousakis-winery,8541.1,,,PASS_INTERNAL_CHECKS,,,,,,,,,
lyrarakis-winery,Lyrarakis Winery,winery,crete,GR,Heraklion,Alagni,35.1978,25.1764,paved,https://lyrarakis.com,"https://maps.google.com/?q=35.1978,25.1764",true,true,35.197800,25.176400,0.0,MAP_LINK_MATCH,domaine-paterianakis,2777.0,,,PASS_INTERNAL_CHECKS,,,,,,,,,
manousakis-winery,Manousakis Winery (Nostos),winery,crete,GR,Chania,Vatolakkos,35.4542,23.9056,paved,https://manousakiswinery.com,"https://maps.google.com/?q=35.4542,23.9056",true,true,35.454200,23.905600,0.0,MAP_LINK_MATCH,cretan-brewery-charma,7192.3,,,PASS_INTERNAL_CHECKS,,,,,,,,,
meligyris-apiary,Meligyris Cretan Apiary,apiary,crete,GR,Heraklion,Arkalochori (Heraklion),35.152,25.263,paved,https://meligyris.com,"https://maps.google.com/?q=35.1520,25.2630",true,true,35.152000,25.263000,0.0,MAP_LINK_MATCH,domaine-paterianakis,6687.3,,,PASS_INTERNAL_CHECKS,,,,,,,,,
toplou-monastery-winery,Monastery Toplou Organic Estate,winery,crete,GR,Lasithi,Sitia,35.2215,26.2163,paved,https://toplou.com,"https://maps.google.com/?q=35.2215,26.2163",true,true,35.221500,26.216300,0.0,MAP_LINK_MATCH,cretan-olive-oil-farm,45279.7,,,PASS_INTERNAL_CHECKS,,,,,,,,,
notos-brewery,Notos Microbrewery,brewery,crete,GR,Heraklion,Heraklion City,35.328,25.138,paved,https://notosbrewery.gr,"https://maps.google.com/?q=35.3280,25.1380",true,true,35.328000,25.138000,0.0,MAP_LINK_MATCH,kasta-brewery,1617.0,,,PASS_INTERNAL_CHECKS,,,,,,,,,
parasiris-olive-mill,Parasiris Olive Mill & Heritage Museum,olive_mill,crete,GR,Rethymno,Melidoni (Mylopotamos),35.381,24.741,paved,https://melidonioil.gr,"https://maps.google.com/?q=35.3810,24.7410",true,true,35.381000,24.741000,0.0,MAP_LINK_MATCH,aerakis-dairy-anogeia,16240.0,,,PASS_INTERNAL_CHECKS,,,,,,,,,
peskesi-farm-kazani,Peskesi Organic Farm & Kazani,kazani,crete,GR,Heraklion,Harasso (Hersonissos),35.312,25.321,paved,https://peskesicrete.gr,"https://maps.google.com/?q=35.3120,25.3210",true,true,35.312000,25.321000,0.0,MAP_LINK_MATCH,solo-craft-brewery,14800.7,,,PASS_INTERNAL_CHECKS,,,,,,,,,
silva-daskalaki-winery,Silva Daskalaki Winery,winery,crete,GR,Heraklion,Siva (Heraklion),35.1585,25.042,paved,https://silvawines.gr,"https://maps.google.com/?q=35.1585,25.0420",true,true,35.158500,25.042000,0.0,MAP_LINK_MATCH,douloufakis-winery,6981.0,,,PASS_INTERNAL_CHECKS,,,,,,,,,
solo-craft-brewery,Solo Craft Brewery,brewery,crete,GR,Heraklion,Nea Alikarnassos,35.338,25.161,paved,https://solobeer.gr,"https://maps.google.com/?q=35.3380,25.1610",true,true,35.338000,25.161000,0.0,MAP_LINK_MATCH,notos-brewery,2364.2,,,PASS_INTERNAL_CHECKS,,,,,,,,,
stathakis-honey-park,Stathakis Family Thyme Honey & Bee Park,apiary,crete,GR,Chania,Kissamos (Gramvousa),35.482,23.645,paved,https://stathakishoney.gr,"https://maps.google.com/?q=35.4820,23.6450",true,true,35.482000,23.645000,0.0,MAP_LINK_MATCH,biolea-estate,11031.0,,,PASS_INTERNAL_CHECKS,,,,,,,,,
mitato-halepa,Stone Shepherd Mitato of Halepa,cheese_dairy,crete,GR,Rethymno,Livadia (Mount Psiloritis),35.312,24.908,4x4_required,,"https://maps.google.com/?q=35.3120,24.9080",true,true,35.312000,24.908000,0.0,MAP_LINK_MATCH,aerakis-dairy-anogeia,3319.6,,,PASS_INTERNAL_CHECKS,,,,,,,,,
titakis-winery,Titakis Winery,winery,crete,GR,Heraklion,Kounavi (Peza PDO),35.234,25.187,paved,https://titakis.gr,"https://maps.google.com/?q=35.2340,25.1870",true,true,35.234000,25.187000,0.0,MAP_LINK_MATCH,kazani-stilianou,430.7,,,PASS_INTERNAL_CHECKS,,,,,,,,,
tzourmpakis-dairy-amari,Tzourmpakis Artisan Dairy,cheese_dairy,crete,GR,Rethymno,Amari Valley (Mount Kedros),35.234,24.652,paved,https://tzourmpakis.gr,"https://maps.google.com/?q=35.2340,24.6520",true,true,35.234000,24.652000,0.0,MAP_LINK_MATCH,parasiris-olive-mill,18231.9,,,PASS_INTERNAL_CHECKS,,,,,,,,,
wild-herbs-kallikratis,Wild Herbs of Crete - Babis & Family,apiary,crete,GR,Chania,Kallikratis (Sfakia),35.241,24.265,paved,https://wildherbsofcrete.com,"https://maps.google.com/?q=35.2410,24.2650",true,true,35.241000,24.265000,0.0,MAP_LINK_MATCH,tyrokomio-gasparis,21125.4,,,PASS_INTERNAL_CHECKS,,,,,,,,,
zacharioudakis-winery,Zacharioudakis Organic Winery,winery,crete,GR,Heraklion,Plouti (Messara Valley),35.074,24.912,paved,https://zacharioudakis.com,"https://maps.google.com/?q=35.0740,24.9120",true,true,35.074000,24.912000,0.0,MAP_LINK_MATCH,silva-daskalaki-winery,15102.9,,,PASS_INTERNAL_CHECKS,,,,,,,,,
alpha-estate,Alpha Estate,winery,northern_greece,GR,Florina,Amyndeon (Florina),40.693,21.688,paved,https://alpha-estate.com,"https://maps.google.com/?q=40.6930,21.6880",true,true,40.693000,21.688000,0.0,MAP_LINK_MATCH,domaine-karanika,3767.2,,,PASS_INTERNAL_CHECKS,,,,,,,,,
domaine-biblia-chora,Domaine Biblia Chora,winery,northern_greece,GR,Kavala,Kokkinochori (Mount Pangeon),40.852,24.032,paved,https://bibliachora.gr,"https://maps.google.com/?q=40.8520,24.0320",true,true,40.852000,24.032000,0.0,MAP_LINK_MATCH,ktima-pavlidis,41129.9,,,PASS_INTERNAL_CHECKS,,,,,,,,,
domaine-karanika,Domaine Karanika,winery,northern_greece,GR,Florina,Amyndeon (Florina),40.712,21.725,paved,https://karanika.com,"https://maps.google.com/?q=40.7120,21.7250",true,true,40.712000,21.725000,0.0,MAP_LINK_MATCH,alpha-estate,3767.2,,,PASS_INTERNAL_CHECKS,,,,,,,,,
ktima-gerovassiliou,Ktima Gerovassiliou,winery,northern_greece,GR,Thessaloniki,Epanomi (Thessaloniki),40.452,22.923,paved,https://gerovassiliou.gr,"https://maps.google.com/?q=40.4520,22.9230",true,true,40.452000,22.923000,0.0,MAP_LINK_MATCH,propator-sknipa-brewery,13062.1,,,PASS_INTERNAL_CHECKS,,,,,,,,,
kir-yianni-naoussa,Ktima Kir-Yianni Naoussa,winery,northern_greece,GR,Naoussa,Yiannakochori,40.665,22.045,paved,https://kiryianni.gr,"https://maps.google.com/?q=40.6650,22.0450",true,true,40.665000,22.045000,0.0,MAP_LINK_MATCH,thymiopoulos-naoussa,8343.7,,,PASS_INTERNAL_CHECKS,,,,,,,,,
ktima-pavlidis,Ktima Pavlidis,winery,northern_greece,GR,Drama,Kokkinogeia (Drama),41.221,23.998,paved,https://ktima-pavlidis.gr,"https://maps.google.com/?q=41.2210,23.9980",true,true,41.221000,23.998000,0.0,MAP_LINK_MATCH,siris-craft-brewery,40597.7,,,PASS_INTERNAL_CHECKS,,,,,,,,,
propator-sknipa-brewery,Propator Microbrewery (Sknipa Beer),brewery,northern_greece,GR,Thessaloniki,Nea Raidestos (Thessaloniki),40.521,23.048,paved,https://sknipabeer.gr,"https://maps.google.com/?q=40.5210,23.0480",true,true,40.521000,23.048000,0.0,MAP_LINK_MATCH,ktima-gerovassiliou,13062.1,,,PASS_INTERNAL_CHECKS,,,,,,,,,
